Date,Open,High,Low,Close,Volume
10/16/2019,2989.68,2997.54,2985.2,2989.69,1790316667
10/17/2019,3000.77,3008.29,2991.79,2997.95,1731088889
10/18/2019,2996.84,3000,2976.31,2986.2,1813494444
10/21/2019,2996.48,3007.33,2995.35,3006.72,1817566667
10/22/2019,3010.73,3014.57,2995.04,2995.99,1957716667
10/23/2019,2994.01,3004.78,2991.21,3004.52,1884927778
10/24/2019,3014.78,3016.07,3000.42,3010.29,2051444444
10/25/2019,3003.32,3027.39,3001.94,3022.55,1872427778
10/28/2019,3032.12,3044.08,3032.12,3039.42,1956238889
10/29/2019,3035.39,3047.87,3034.81,3036.89,1994405556
10/30/2019,3039.74,3050.1,3025.96,3046.77,2097794444
10/31/2019,3046.9,3046.9,3023.19,3037.56,2299600000
11/1/2019,3050.72,3066.95,3050.72,3066.91,2183444444
11/4/2019,3078.96,3085.2,3074.87,3078.27,2303805556
11/5/2019,3080.8,3083.95,3072.15,3074.62,2492294444
11/6/2019,3075.1,3078.34,3065.89,3076.78,2476772222
11/7/2019,3087.02,3097.77,3080.23,3085.18,2302577778
11/8/2019,3081.25,3093.09,3073.58,3093.08,1943972222
11/11/2019,3080.33,3088.33,3075.82,3087.01,1686405556
11/12/2019,3089.28,3102.61,3084.73,3091.84,1925561111
11/13/2019,3084.18,3098.06,3078.8,3094.04,1949600000
11/14/2019,3090.75,3098.2,3083.26,3096.63,1820038889
11/15/2019,3107.92,3120.46,3104.6,3120.46,1853138889
11/18/2019,3117.91,3124.17,3112.06,3122.03,1909272222
11/19/2019,3127.45,3127.64,3113.47,3120.18,1994483333
11/20/2019,3114.66,3118.97,3091.41,3108.46,2241605556
11/21/2019,3108.49,3110.11,3094.55,3103.54,2066977778
11/22/2019,3111.41,3112.87,3099.26,3110.29,1792655556
11/25/2019,3117.44,3133.83,3117.44,3133.64,1950850000
11/26/2019,3134.85,3142.69,3131,3140.52,2553105556
11/27/2019,3145.49,3154.26,3143.41,3153.63,1685050000
11/29/2019,3147.18,3150.3,3139.34,3140.98,968344444
12/2/2019,3143.85,3144.31,3110.78,3113.87,1815966667
12/3/2019,3087.41,3094.97,3070.33,3093.2,2029661111
12/4/2019,3103.5,3119.38,3102.53,3112.76,2052794444
12/5/2019,3119.21,3119.45,3103.76,3117.43,1864305556
12/6/2019,3134.62,3150.6,3134.62,3145.91,1933044444
12/9/2019,3141.86,3148.87,3135.46,3135.96,1858883333
12/10/2019,3135.36,3142.12,3126.09,3132.52,1857661111
12/11/2019,3135.75,3143.98,3133.21,3141.63,1806966667
12/12/2019,3141.23,3176.28,3138.47,3168.57,2217050000
12/13/2019,3166.65,3182.68,3156.51,3168.8,2076038889
12/16/2019,3183.63,3197.71,3183.63,3191.45,2250994444
12/17/2019,3195.4,3198.22,3191.03,3192.52,2131966667
12/18/2019,3195.21,3198.48,3191.14,3191.14,2230044444
12/19/2019,3192.32,3205.48,3192.32,3205.37,2066916667
12/20/2019,3223.33,3225.65,3216.03,3221.22,3585705556
12/23/2019,3226.05,3227.78,3222.3,3224.01,1700338889
12/24/2019,3225.45,3226.43,3220.51,3223.38,720300000
12/26/2019,3227.2,3240.08,3227.2,3239.91,1200377778
12/27/2019,3247.23,3247.93,3234.37,3240.02,1349261111
12/30/2019,3240.09,3240.92,3216.57,3221.29,1674050000
12/31/2019,3215.18,3231.72,3212.03,3230.78,1607672222
1/2/2020,3244.67,3258.14,3235.53,3257.85,1921250000
1/3/2020,3226.36,3246.15,3222.34,3234.85,1922938889
1/6/2020,3217.55,3246.84,3214.64,3246.28,2041150000
1/7/2020,3241.86,3244.91,3232.43,3237.18,1900211111
1/8/2020,3238.59,3267.07,3236.67,3253.05,2067161111
1/9/2020,3266.03,3275.58,3263.67,3274.7,2021327778
1/10/2020,3281.81,3282.99,3260.86,3265.35,1784983333
1/13/2020,3271.13,3288.13,3268.43,3288.13,1920211111
1/14/2020,3285.35,3294.25,3277.19,3283.15,2036183333
1/15/2020,3282.27,3298.66,3280.69,3289.29,2064911111
1/16/2020,3302.97,3317.11,3302.82,3316.81,1963933333
1/17/2020,3323.66,3329.88,3318.86,3329.62,2054538889
1/21/2020,3321.03,3329.79,3316.61,3320.79,2280744444
1/22/2020,3330.02,3337.77,3320.04,3321.75,2011027778
1/23/2020,3315.77,3326.88,3301.87,3325.54,2091588889
1/24/2020,3333.1,3333.18,3281.53,3295.47,2059516667
1/27/2020,3247.16,3258.85,3234.5,3243.63,2123944444
1/28/2020,3255.35,3285.78,3253.22,3276.24,1959288889
1/29/2020,3289.46,3293.47,3271.89,3273.4,1991388889
1/30/2020,3256.45,3285.91,3242.8,3283.66,2104027778
1/31/2020,3282.33,3282.33,3214.68,3225.52,2515461111
2/3/2020,3235.66,3268.44,3235.66,3248.92,2087727778
2/4/2020,3280.61,3306.92,3280.61,3297.59,2219622222
2/5/2020,3324.91,3337.58,3313.75,3334.69,2287627778
2/6/2020,3344.92,3347.96,3334.39,3345.78,2149094444
2/7/2020,3335.54,3341.42,3322.12,3327.71,2072583333
2/10/2020,3318.28,3352.26,3317.77,3352.09,1916861111
2/11/2020,3365.87,3375.63,3352.72,3357.75,2089194444
2/12/2020,3370.5,3381.47,3369.72,3379.45,2181322222
2/13/2020,3365.9,3385.09,3360.52,3373.94,1943466667
2/14/2020,3378.08,3380.69,3366.15,3380.16,1887800000
2/18/2020,3369.04,3375.01,3355.61,3370.29,2081511111
2/19/2020,3380.39,3393.52,3378.83,3386.15,2000083333
2/20/2020,3380.45,3389.15,3341.02,3373.23,2226288889
2/21/2020,3360.5,3360.76,3328.45,3337.75,2166261111
2/24/2020,3257.61,3259.81,3214.65,3225.89,2690533333
2/25/2020,3238.94,3246.99,3118.77,3128.21,3106394444
2/26/2020,3139.9,3182.51,3108.99,3116.39,3043394444
2/27/2020,3062.54,3097.07,2977.39,2978.76,3921577778
2/28/2020,2916.9,2959.72,2855.84,2954.22,4757694444
3/2/2020,2974.28,3090.96,2945.19,3090.23,3542444444
3/3/2020,3096.46,3136.72,2976.63,3003.37,3531077778
3/4/2020,3045.75,3130.97,3034.38,3130.12,2797488889
3/5/2020,3075.7,3083.04,2999.83,3023.94,3097527778
3/6/2020,2954.2,2985.93,2901.54,2972.37,3640077778
3/9/2020,2863.89,2863.89,2734.43,2746.56,4679472222
3/10/2020,2813.48,2882.59,2734,2882.23,4242200000
3/11/2020,2825.6,2825.6,2707.22,2741.38,4096727778
3/12/2020,2630.86,2660.95,2478.86,2480.64,4905211111
3/13/2020,2569.99,2711.33,2492.37,2711.02,4588150000
3/16/2020,2508.59,2562.98,2380.94,2386.13,4323077778
3/17/2020,2425.66,2553.93,2367.04,2529.19,4643611111
3/18/2020,2436.5,2453.57,2280.52,2398.1,4864322222
3/19/2020,2393.48,2466.97,2319.78,2409.39,4414838889
3/20/2020,2431.94,2453.01,2295.56,2304.92,5024827778
3/23/2020,2290.71,2300.73,2191.86,2237.4,4112322222
3/24/2020,2344.44,2449.71,2344.44,2447.33,4192972222
3/25/2020,2457.77,2571.42,2407.53,2475.56,4603150000
3/26/2020,2501.29,2637.01,2500.72,2630.07,4307311111
3/27/2020,2555.87,2615.91,2520.02,2541.47,3441294444
3/30/2020,2558.98,2631.8,2545.28,2626.65,3192344444
3/31/2020,2614.69,2641.39,2571.15,2584.59,3649050000
4/1/2020,2498.08,2522.75,2447.49,2470.5,3304388889
4/2/2020,2458.54,2533.22,2455.79,2526.9,3586105556
4/3/2020,2514.92,2538.18,2459.96,2488.65,3381772222
4/6/2020,2578.28,2676.85,2574.57,2663.68,3551033333
4/7/2020,2738.65,2756.89,2657.67,2659.41,3911511111
4/8/2020,2685,2760.75,2663.3,2749.98,3253538889
4/9/2020,2776.99,2818.57,2762.36,2789.82,4377855556
4/13/2020,2782.46,2782.46,2721.17,2761.63,2930172222
4/14/2020,2805.1,2851.85,2805.1,2846.06,3093000000
4/15/2020,2795.64,2801.88,2761.54,2783.36,2890772222
4/16/2020,2799.34,2806.51,2764.32,2799.55,2877772222
4/17/2020,2842.43,2879.22,2830.88,2874.56,3217855556
4/20/2020,2845.62,2868.98,2820.43,2823.16,2900088889
4/21/2020,2784.81,2785.54,2727.1,2736.56,2819905556
4/22/2020,2787.89,2815.1,2775.95,2799.31,2805366667
4/23/2020,2810.42,2844.9,2794.26,2797.8,3198066667
4/24/2020,2812.64,2842.71,2791.76,2836.74,2985822222
4/27/2020,2854.65,2887.72,2852.89,2878.48,2885700000
4/28/2020,2909.96,2921.15,2860.71,2863.39,3151600000
4/29/2020,2918.46,2954.86,2912.16,2939.51,3677855556
4/30/2020,2930.91,2930.91,2892.47,2912.43,3623955556
5/1/2020,2869.09,2869.09,2821.61,2830.71,2640644444
5/4/2020,2815.01,2844.24,2797.85,2842.74,2623966667
5/5/2020,2868.88,2898.23,2863.55,2868.44,2849772222
5/6/2020,2883.14,2891.11,2847.65,2848.42,2701066667
5/7/2020,2878.26,2901.92,2876.48,2881.19,2869244444
5/8/2020,2908.83,2932.16,2902.88,2929.8,2698422222
5/11/2020,2915.46,2944.25,2903.44,2930.32,2596977372
5/12/2020,2939.5,2945.82,2869.59,2870.12,2661481924
5/13/2020,2865.86,2874.14,2793.15,2820,3538682040
5/14/2020,2794.54,2852.8,2766.64,2852.5,3342014465
5/15/2020,2829.95,2865.01,2816.78,2863.7,3291068217
5/18/2020,2913.86,2968.09,2913.86,2953.91,3637568897
5/19/2020,2948.59,2964.21,2922.35,2922.94,2852880746
5/20/2020,2953.63,2980.29,2953.63,2971.61,2845135067
5/21/2020,2969.95,2978.5,2938.57,2948.51,2778169917
5/22/2020,2948.05,2956.76,2933.59,2955.45,2184181839
5/26/2020,3004.08,3021.72,2988.17,2991.77,3349414121
5/27/2020,3015.65,3036.25,2969.75,3036.13,3652902255
5/28/2020,3046.61,3068.67,3023.4,3029.73,3136898114
5/29/2020,3025.17,3049.17,2998.61,3044.31,4372835504
6/1/2020,3038.78,3062.18,3031.54,3055.73,2494242374
6/2/2020,3064.78,3081.07,3051.64,3080.82,2800242756
6/3/2020,3098.9,3130.94,3098.9,3122.87,3152227961
6/4/2020,3111.56,3128.91,3090.41,3112.35,3731253343
6/5/2020,3163.84,3211.72,3163.84,3193.93,4794161515
6/8/2020,3199.92,3233.13,3196,3232.39,3706403397
6/9/2020,3213.32,3222.71,3193.11,3207.18,3172476044
6/10/2020,3213.42,3223.27,3181.49,3190.14,3577280352
6/11/2020,3123.53,3123.53,2999.49,3002.1,4119364753
6/12/2020,3071.04,3088.42,2984.47,3041.31,3379014946
6/15/2020,2993.76,3079.76,2965.66,3066.59,3208285727
6/16/2020,3131,3153.45,3076.06,3124.74,3290522357
6/17/2020,3136.13,3141.16,3108.03,3113.49,2482661567
6/18/2020,3101.64,3120,3093.51,3115.34,2406434155
6/19/2020,3140.29,3155.53,3083.11,3097.74,4998415138
6/22/2020,3094.42,3120.92,3079.39,3117.86,2572599763
6/23/2020,3138.7,3154.9,3127.12,3131.29,2736647372
6/24/2020,3114.4,3115.01,3032.13,3050.33,3216148237
6/25/2020,3046.6,3086.25,3024.01,3083.76,2738077000
6/26/2020,3073.2,3073.73,3004.63,3009.05,4393618253
6/29/2020,3018.59,3053.89,2999.74,3053.24,2650231761
6/30/2020,3050.2,3111.51,3047.83,3100.29,2762700300
7/1/2020,3105.92,3128.44,3101.17,3115.86,2709350469
7/2/2020,3143.64,3165.81,3124.52,3130.01,2332622404
7/6/2020,3155.29,3182.59,3155.29,3179.72,2384007094
7/7/2020,3166.44,3184.15,3142.93,3145.32,2286066876
7/8/2020,3153.07,3171.8,3136.53,3169.94,2397542535
7/9/2020,3176.17,3179.78,3115.7,3152.05,2595438819
7/10/2020,3152.47,3186.82,3136.22,3185.04,2408266859
7/13/2020,3205.08,3235.32,3149.43,3155.22,2694338924
7/14/2020,3141.11,3200.95,3127.66,3197.52,2638225293
7/15/2020,3225.98,3238.28,3200.76,3226.56,2849504498
7/16/2020,3208.36,3220.39,3198.59,3215.57,2214117696
7/17/2020,3224.21,3233.52,3205.65,3224.73,2219964739
7/20/2020,3224.29,3258.61,3215.16,3251.84,2171304615
7/21/2020,3268.52,3277.29,3247.77,3257.3,2470338671
7/22/2020,3254.86,3279.32,3253.1,3276.02,2418091343
7/23/2020,3271.64,3279.99,3222.66,3235.66,2742056465
7/24/2020,3218.58,3227.26,3200.05,3215.63,2460505182
7/27/2020,3219.84,3241.43,3214.25,3239.41,2355871031
7/28/2020,3234.27,3243.72,3216.17,3218.44,2244363387
7/29/2020,3227.22,3264.74,3227.22,3258.44,2471114054
7/30/2020,3231.76,3250.92,3204.13,3246.22,2436861309
7/31/2020,3270.45,3272.17,3220.26,3271.12,3062620493
8/3/2020,3288.26,3302.73,3284.53,3294.61,2379546705
8/4/2020,3289.92,3306.84,3286.37,3306.51,2403695283
8/5/2020,3317.37,3330.77,3317.37,3327.77,2452040105
8/6/2020,3323.17,3351.03,3318.14,3349.16,2414075395
8/7/2020,3340.05,3352.54,3328.72,3351.28,2279160879
8/10/2020,3356.04,3363.29,3335.44,3360.47,2565981272
8/11/2020,3370.34,3381.01,3326.44,3333.69,2901184692
8/12/2020,3355.46,3387.89,3355.46,3380.35,2245860113
8/13/2020,3372.95,3387.24,3363.35,3373.43,1964649318
8/14/2020,3368.66,3378.51,3361.64,3372.85,1713105900
8/17/2020,3380.86,3387.59,3379.22,3381.99,1951363148
8/18/2020,3387.04,3395.06,3370.15,3389.78,1795551606
8/19/2020,3392.51,3399.54,3369.66,3374.85,2021428535
8/20/2020,3360.48,3390.8,3354.69,3385.51,1835659390
8/21/2020,3386.01,3399.96,3379.31,3397.16,1993642443
8/24/2020,3418.09,3432.09,3413.13,3431.28,2275646060
8/25/2020,3435.95,3444.21,3425.84,3443.62,2042901658
8/26/2020,3449.97,3481.07,3444.15,3478.73,2020851527
8/27/2020,3485.14,3501.38,3468.35,3484.55,2327431654
8/28/2020,3494.69,3509.23,3484.32,3508.01,2047770541
8/31/2020,3509.73,3514.77,3493.25,3500.31,2545947629
9/1/2020,3507.44,3528.03,3494.6,3526.65,2246655768
9/2/2020,3543.76,3588.11,3535.23,3580.84,2579961224
9/3/2020,3564.74,3564.85,3427.41,3455.06,3196862882
9/4/2020,3453.6,3479.15,3349.63,3426.96,3045943569
9/8/2020,3371.88,3379.97,3329.27,3331.84,3071728677
9/9/2020,3369.82,3424.77,3366.84,3398.96,2509091751
9/10/2020,3412.56,3425.55,3329.25,3339.19,2581883711
9/11/2020,3352.7,3368.95,3310.47,3340.97,2351289169
9/14/2020,3363.56,3402.93,3363.56,3383.54,2364625122
9/15/2020,3407.73,3419.48,3389.25,3401.2,2482063450
9/16/2020,3411.23,3428.92,3384.45,3385.49,2860737276
9/17/2020,3346.86,3375.17,3328.82,3357.01,2739627914
9/18/2020,3357.38,3362.27,3292.4,3319.47,4080814747
9/21/2020,3285.57,3285.57,3229.1,3281.06,2996245686
9/22/2020,3295.75,3320.31,3270.95,3315.57,2388040936
9/23/2020,3320.11,3323.35,3232.57,3236.92,2481367969
9/24/2020,3226.14,3278.7,3209.45,3246.59,2414616135
9/25/2020,3236.66,3306.88,3228.44,3298.46,2201331092
9/28/2020,3333.9,3360.74,3332.91,3351.6,2218484960
9/29/2020,3350.92,3357.92,3327.54,3335.47,1947640906
9/30/2020,3341.21,3393.56,3340.47,3363,2621466321
10/1/2020,3385.87,3397.18,3361.39,3380.8,2354422841
10/2/2020,3338.94,3369.1,3323.69,3348.44,2354722287
10/5/2020,3367.27,3409.57,3367.27,3408.63,2040745749
10/6/2020,3408.74,3431.56,3354.54,3360.95,2551091954
10/7/2020,3384.56,3426.26,3384.56,3419.45,2084054405
10/8/2020,3434.28,3447.28,3428.15,3446.83,2094828307
10/9/2020,3459.67,3482.34,3458.07,3477.13,2209050833
10/12/2020,3500.02,3549.85,3499.61,3534.22,2240199001
10/13/2020,3534.01,3534.01,3500.86,3511.93,2358329289
10/14/2020,3515.47,3527.94,3480.55,3488.67,2173872805
10/15/2020,3453.72,3489.08,3440.89,3483.34,2007238547
10/16/2020,3493.5,3515.76,3480.45,3483.81,2213545513
10/19/2020,3493.66,3502.42,3419.93,3426.92,2185827606
10/20/2020,3439.38,3476.93,3435.65,3443.12,2114290333
10/21/2020,3439.91,3464.86,3433.06,3435.56,2067107215
10/22/2020,3438.5,3460.53,3415.34,3453.49,2402859482
10/23/2020,3464.9,3466.46,3440.45,3465.39,2155522498
10/26/2020,3441.42,3441.42,3364.86,3400.97,2435786612
10/27/2020,3403.15,3409.51,3388.71,3390.68,2395101697
10/28/2020,3342.48,3342.48,3268.89,3271.03,3147943500
10/29/2020,3277.17,3341.05,3259.82,3310.11,2752625684
10/30/2020,3293.59,3304.93,3233.94,3269.96,3003852681
11/2/2020,3296.2,3330.14,3279.74,3310.24,2525535542
11/3/2020,3336.25,3389.49,3336.25,3369.16,2329577555
11/4/2020,3406.46,3486.25,3405.17,3443.44,2901095649
11/5/2020,3485.74,3529.05,3485.74,3510.45,2559015385
11/6/2020,3508.34,3521.58,3484.34,3509.44,2167007972
11/9/2020,3583.04,3645.99,3547.48,3550.5,5061429532
11/10/2020,3543.26,3557.22,3511.91,3545.53,3455507092
11/11/2020,3563.22,3581.16,3557,3572.66,2515389885
11/12/2020,3562.67,3569.02,3518.58,3537.01,2414732971
11/13/2020,3552.57,3593.66,3552.57,3585.15,2276724987
11/16/2020,3600.16,3628.51,3600.16,3626.91,2864430679
11/17/2020,3610.31,3623.11,3588.68,3609.53,2343226894
11/18/2020,3612.09,3619.09,3567.33,3567.79,2667939337
11/19/2020,3559.41,3585.22,3543.84,3581.87,2246332374
11/20/2020,3579.31,3581.23,3556.85,3557.54,2212968548
11/23/2020,3566.82,3589.81,3552.77,3577.59,2493130026
11/24/2020,3594.52,3642.31,3594.52,3635.41,3170708990
11/25/2020,3635.5,3635.5,3617.76,3629.65,2305668031
11/27/2020,3638.55,3644.31,3629.33,3638.35,1229199673
11/30/2020,3634.18,3634.18,3594.39,3621.63,3644157125
12/1/2020,3645.87,3678.45,3645.87,3662.45,2637657489
12/2/2020,3653.78,3670.96,3644.84,3669.01,2382771239
12/3/2020,3668.28,3682.73,3657.17,3666.72,2642754327
12/4/2020,3670.94,3699.2,3670.94,3699.12,2591912420
12/7/2020,3694.73,3697.41,3678.88,3691.96,2340001316
12/8/2020,3683.05,3708.45,3678.83,3702.25,2264899108
12/9/2020,3705.98,3712.39,3660.54,3672.82,2756415535
12/10/2020,3659.13,3678.49,3645.18,3668.1,2412666569
12/11/2020,3656.08,3665.91,3633.4,3663.46,2308878899
12/14/2020,3675.27,3697.61,3645.84,3647.49,2541186619
12/15/2020,3666.41,3695.29,3659.62,3694.62,2529938661
12/16/2020,3696.25,3711.27,3688.57,3701.17,2267390776
12/17/2020,3713.65,3725.12,3710.87,3722.48,2192253641
12/18/2020,3722.39,3726.7,3685.84,3709.41,4246742281
12/21/2020,3684.28,3702.9,3636.48,3694.92,2605975306
12/22/2020,3698.08,3698.26,3676.16,3687.26,2208070093
12/23/2020,3693.42,3711.24,3689.28,3690.01,1845296650
12/24/2020,3694.03,3703.82,3689.32,3703.06,818784928
12/28/2020,3723.03,3740.51,3723.03,3735.36,1662609796
12/29/2020,3750.01,3756.12,3723.31,3727.04,1638287436
12/30/2020,3736.19,3744.63,3730.21,3732.04,1559327835
12/31/2020,3733.27,3760.2,3726.88,3756.07,1658919486
1/4/2021,3764.61,3769.99,3662.71,3700.65,2728583078
1/5/2021,3698.02,3737.83,3695.07,3726.86,2384682941
1/6/2021,3712.2,3783.04,3705.34,3748.14,3191178708
1/7/2021,3764.71,3811.55,3764.71,3803.79,2585186415
1/8/2021,3815.05,3826.69,3783.6,3824.68,2374809302
1/11/2021,3803.14,3817.86,3789.02,3799.61,2335918128
1/12/2021,3801.62,3810.78,3776.51,3801.19,2632132471
1/13/2021,3802.23,3820.96,3791.5,3809.84,2344888465
1/14/2021,3814.98,3823.6,3792.86,3795.54,2708930219
1/15/2021,3788.73,3788.73,3749.62,3768.25,2741656357
1/19/2021,3781.88,3804.53,3780.37,3798.91,2485142099
1/20/2021,3816.22,3859.75,3816.22,3851.85,2350471631
1/21/2021,3857.46,3861.45,3845.05,3853.07,2591055660
1/22/2021,3844.24,3852.31,3830.41,3841.47,2290691535
1/25/2021,3851.68,3859.23,3797.16,3855.36,2796458161
1/26/2021,3862.96,3870.9,3847.78,3849.62,2562368503
1/27/2021,3836.83,3836.83,3732.48,3750.77,3808384652
1/28/2021,3755.75,3830.5,3755.75,3787.38,3261772860
1/29/2021,3778.05,3778.05,3694.12,3714.24,3315454292
2/1/2021,3731.17,3784.32,3725.62,3773.86,2457573861
2/2/2021,3791.84,3843.09,3791.84,3826.31,2415604684
2/3/2021,3840.27,3847.51,3816.68,3830.17,2273801634
2/4/2021,3836.66,3872.42,3836.66,3871.74,2367356951
2/5/2021,3878.3,3894.56,3874.93,3886.83,2152289897
2/8/2021,3892.59,3915.77,3892.59,3915.59,2161333144
2/9/2021,3910.49,3918.35,3902.64,3911.23,2067393950
2/10/2021,3920.78,3931.5,3884.94,3909.88,2291313102
2/11/2021,3916.4,3925.99,3890.39,3916.38,2126812632
2/12/2021,3911.65,3937.23,3905.78,3934.83,1829607166
2/16/2021,3939.61,3950.43,3923.85,3932.59,2305147298
2/17/2021,3918.5,3933.61,3900.43,3931.33,2161952392
2/18/2021,3915.86,3921.98,3885.03,3913.97,2025989354
2/19/2021,3921.16,3930.41,3903.07,3906.71,2315685076
2/22/2021,3885.55,3902.92,3874.71,3876.5,2752794505
2/23/2021,3857.07,3895.98,3805.59,3881.37,2947617135
2/24/2021,3873.71,3928.65,3859.6,3925.43,2788164696
2/25/2021,3915.8,3925.02,3814.04,3829.34,2924371959
2/26/2021,3839.66,3861.08,3789.54,3811.15,3129018166
3/1/2021,3842.51,3914.5,3842.51,3901.82,2406893663
3/2/2021,3903.64,3906.41,3868.57,3870.29,2296374171
3/3/2021,3863.99,3874.47,3818.86,3819.72,2718938203
3/4/2021,3818.53,3843.67,3723.34,3768.47,3471696122
3/5/2021,3793.58,3851.69,3730.19,3841.94,3320705802
3/8/2021,3844.39,3881.06,3819.25,3821.35,2998653462
3/9/2021,3851.93,3903.76,3851.93,3875.44,2786916293
3/10/2021,3891.99,3917.35,3885.73,3898.81,2661081667
3/11/2021,3915.54,3960.27,3915.54,3939.34,2570250267
3/12/2021,3924.52,3944.99,3915.21,3943.34,2277434098
3/15/2021,3942.96,3970.08,3923.54,3968.94,2393441121
3/16/2021,3973.59,3981.04,3953.44,3962.71,2372381008
3/17/2021,3949.57,3983.87,3935.74,3974.12,2458783556
3/18/2021,3953.5,3969.62,3910.86,3915.46,2686354391
3/19/2021,3913.14,3930.12,3886.75,3913.1,4647053019
3/22/2021,3916.48,3955.31,3914.16,3940.59,2362949344
3/23/2021,3937.6,3949.13,3901.57,3910.52,2494379928
3/24/2021,3919.93,3942.08,3889.07,3889.14,2414378604
3/25/2021,3879.34,3919.54,3853.5,3909.52,2385059895
3/26/2021,3917.12,3978.19,3917.12,3974.54,2655374920
3/29/2021,3969.31,3981.83,3943.25,3971.09,2418405500
3/30/2021,3963.34,3968.01,3944.35,3958.55,2134267391
3/31/2021,3967.25,3994.41,3966.98,3972.89,2420427567
4/1/2021,3992.78,4020.63,3992.78,4019.87,2178187603
4/5/2021,4034.44,4083.42,4034.44,4077.91,2241318486
4/6/2021,4075.57,4086.23,4068.14,4073.94,2147071522
4/7/2021,4074.29,4083.13,4068.31,4079.95,1963233249
4/8/2021,4089.95,4098.19,4082.54,4097.17,2011933177
4/9/2021,4096.11,4129.48,4095.51,4128.8,1880708120
4/12/2021,4124.71,4131.76,4114.82,4127.99,1923094540
4/13/2021,4130.1,4148,4124.43,4141.59,2060718961
4/14/2021,4141.58,4151.69,4120.87,4124.66,2092018943
4/15/2021,4139.76,4173.49,4139.76,4170.42,2130933628
4/16/2021,4174.14,4191.31,4170.75,4185.47,2205786949
4/19/2021,4179.8,4180.81,4150.47,4163.26,1999877307
4/20/2021,4159.18,4159.18,4118.38,4134.94,2292083378
4/21/2021,4128.42,4175.02,4126.35,4173.42,2126513143
4/22/2021,4170.46,4179.57,4123.69,4134.98,2392241341
4/23/2021,4138.78,4194.17,4138.78,4180.17,2008642236
4/26/2021,4185.03,4194.19,4182.36,4187.62,1937952599
4/27/2021,4188.25,4193.35,4176.22,4186.72,2034702320
4/28/2021,4185.14,4201.53,4181.78,4183.18,2145349329
4/29/2021,4206.14,4218.78,4176.81,4211.47,2502878449
4/30/2021,4198.1,4198.1,4174.85,4181.17,2428162998
5/3/2021,4191.98,4209.39,4188.03,4192.66,2182103434
5/4/2021,4179.04,4179.04,4128.59,4164.66,2552420121
5/5/2021,4177.06,4187.72,4160.94,4167.59,1769152889
5/6/2021,4169.14,4202.7,4147.33,4201.62,2239080813
5/7/2021,4210.34,4238.04,4201.64,4232.6,2048519190
5/10/2021,4228.29,4236.39,4188.13,4188.43,2320014566
5/11/2021,4150.34,4162.04,4111.53,4152.1,2432749321
5/12/2021,4130.55,4134.73,4056.88,4063.04,2406683784
5/13/2021,4074.99,4131.58,4074.99,4112.5,2163353723
5/14/2021,4129.58,4183.13,4129.58,4173.85,1904970402
5/17/2021,4169.92,4171.92,4142.69,4163.29,2278897644
5/18/2021,4165.94,4169.15,4125.99,4127.83,2324677838
5/19/2021,4098.45,4116.93,4061.41,4115.68,2414067271
5/20/2021,4121.97,4172.8,4121.97,4159.12,2159532191
5/21/2021,4168.61,4188.72,4151.72,4155.86,2196798084
5/24/2021,4170.16,4209.52,4170.16,4197.05,1848676717
